4337360,GEST,,1
4220085,GEST,,2
4326232,GEST,,3
4195157,GEST,,4
4290009,GEST,,5
4313026,GEST,,6
4270513,GEST,,7
4132434,GEST,,8
4322726,GEST,,8
4245908,GEST,,9
4242241,GEST,,10
4174506,GEST,,11
4015296,GEST,,12
4197245,GEST,,12
4181468,GEST,,13
4266517,GEST,,13
4248725,GEST,,14
4283690,GEST,,15
4014149,GEST,,16
4049621,GEST,,16
4277749,GEST,,17
4097608,GEST,,18
4181751,GEST,,19
4324063,GEST,,19
4014150,GEST,,20
4051642,GEST,,20
4178165,GEST,,20
4181162,GEST,,21
4185780,GEST,,21
4274955,GEST,,22
44808979,GEST,,22
438542,GEST,,23
4336226,GEST,,23
439922,GEST,,24
4015141,GEST,,24
435640,GEST,,25
44808980,GEST,,25
444023,GEST,,26
432430,GEST,,27
45770261,GEST,,27
444461,GEST,,28
444417,GEST,,29
4014151,GEST,,30
434484,GEST,,30
433864,GEST,,31
44808981,GEST,,31
4015297,GEST,,32
442558,GEST,,32
441678,GEST,,33
4015298,GEST,,34
4038754,GEST,,34
443874,GEST,,34
444267,GEST,,35
4014434,GEST,,35
4180111,GEST,,35
4015299,GEST,,36
438543,GEST,,36
4015142,GEST,,37
442355,GEST,,37
762907,GEST,,37
4038934,GEST,,38
4014152,GEST,,38
443871,GEST,,38
4015300,GEST,,39
435655,GEST,,39
4015301,GEST,,40
4336958,GEST,,40
4015302,GEST,,41
442769,GEST,,41
444067,GEST,,42
4014435,GEST,,42
45773507,POSTT,,42
41050803,CONTRA,,
41050804,CONTRA,,
41050815,CONTRA,,
41050990,CONTRA,,
41053034,CONTRA,,
41053037,CONTRA,,
41053038,CONTRA,,
41053039,CONTRA,,
41053406,CONTRA,,
41053411,CONTRA,,
41053412,CONTRA,,
41053413,CONTRA,,
41053414,CONTRA,,
41053415,CONTRA,,
41053416,CONTRA,,
41053513,CONTRA,,
41053514,CONTRA,,
41053585,CONTRA,,
41054430,CONTRA,,
41054431,CONTRA,,
41054432,CONTRA,,
41054433,CONTRA,,
41054434,CONTRA,,
41323257,CONTRA,,
41323258,CONTRA,,
41323259,CONTRA,,
41323260,CONTRA,,
41323261,CONTRA,,
41323262,CONTRA,,
41323263,CONTRA,,
41323264,CONTRA,,
41323265,CONTRA,,
41323266,CONTRA,,
41323267,CONTRA,,
41323268,CONTRA,,
41323269,CONTRA,,
41323270,CONTRA,,
41323271,CONTRA,,
41323272,CONTRA,,
41323273,CONTRA,,
41323274,CONTRA,,
41323280,CONTRA,,
41323288,CONTRA,,
41323289,CONTRA,,
41323290,CONTRA,,
41323291,CONTRA,,
41323292,CONTRA,,
41323485,CONTRA,,
41323486,CONTRA,,
41323487,CONTRA,,
41323488,CONTRA,,
41323489,CONTRA,,
41323490,CONTRA,,
41323491,CONTRA,,
41323492,CONTRA,,
41323494,CONTRA,,
41323691,CONTRA,,
41323692,CONTRA,,
41323693,CONTRA,,
41323694,CONTRA,,
41323695,CONTRA,,
41323696,CONTRA,,
41323810,CONTRA,,
41323811,CONTRA,,
41323812,CONTRA,,
41323813,CONTRA,,
41323814,CONTRA,,
41323815,CONTRA,,
41323816,CONTRA,,
41323817,CONTRA,,
41323818,CONTRA,,
41323819,CONTRA,,
41323820,CONTRA,,
41323821,CONTRA,,
41323822,CONTRA,,
41323823,CONTRA,,
41323824,CONTRA,,
41323825,CONTRA,,
41323826,CONTRA,,
41323827,CONTRA,,
41323828,CONTRA,,
41323829,CONTRA,,
41323830,CONTRA,,
41323831,CONTRA,,
41323832,CONTRA,,
41323833,CONTRA,,
41323834,CONTRA,,
41323835,CONTRA,,
41323836,CONTRA,,
41323837,CONTRA,,
41323885,CONTRA,,
41323886,CONTRA,,
41323887,CONTRA,,
41323888,CONTRA,,
41323889,CONTRA,,
41323890,CONTRA,,
41324218,CONTRA,,
41324219,CONTRA,,
41324220,CONTRA,,
41324221,CONTRA,,
41324222,CONTRA,,
41324223,CONTRA,,
41324224,CONTRA,,
41324225,CONTRA,,
41327574,CONTRA,,
41328447,CONTRA,,
41328478,CONTRA,,
41328550,CONTRA,,
41328697,CONTRA,,
41328721,CONTRA,,
41328722,CONTRA,,
