source_code	source_concept_id	source_vocabulary_id	source_code_description	target_concept_id	target_vocabulary_id	valid_start_date	valid_end_date	invalid_reason
10*-3.eq/g	0	JNJ_UNITS	10*-3.eq/g	9554	UCUM	2023-01-20	2099-12-31	
10*-3.eq/g{creat}	0	JNJ_UNITS	10*-3.eq/g{creat}	9555	UCUM	2023-01-20	2099-12-31	
10*-3.eq/kg	0	JNJ_UNITS	10*-3.eq/kg	9556	UCUM	2023-01-20	2099-12-31	
10*-3.eq/L	0	JNJ_UNITS	10*-3.eq/L	9557	UCUM	2023-01-20	2099-12-31	
10*-3.eq/m2	0	JNJ_UNITS	10*-3.eq/m2	9558	UCUM	2023-01-20	2099-12-31	
10*-3.eq/min	0	JNJ_UNITS	10*-3.eq/min	710205	UCUM	2023-01-20	2099-12-31	
10*-3.eq/mL	0	JNJ_UNITS	10*-3.eq/mL	9559	UCUM	2023-01-20	2099-12-31	
10*-3.eq/{spec}	0	JNJ_UNITS	10*-3.eq/{spec}	9552	UCUM	2023-01-20	2099-12-31	
10*-3.[iU]	0	JNJ_UNITS	10*-3.[iU]	44777577	UCUM	2023-01-20	2099-12-31	
10*3.[iU]	0	JNJ_UNITS	10*3.[iU]	710210	UCUM	2023-01-20	2099-12-31	
10*-3.[iU]/kg	0	JNJ_UNITS	10*-3.[iU]/kg	710211	UCUM	2023-01-20	2099-12-31	
10*-3.[iU]/L	0	JNJ_UNITS	10*-3.[iU]/L	9040	UCUM	2023-01-20	2099-12-31	
10*3.[iU]/L	0	JNJ_UNITS	10*3.[iU]/L	9058	UCUM	2023-01-20	2099-12-31	
10*-3.[iU]/mL	0	JNJ_UNITS	10*-3.[iU]/mL	9550	UCUM	2023-01-20	2099-12-31	
10*3.[iU]/mL	0	JNJ_UNITS	10*3.[iU]/mL	9525	UCUM	2023-01-20	2099-12-31	
*10 3/L	0	JNJ_UNITS	*10 3/L	9435	UCUM	2023-01-20	2099-12-31	
10*3/L	0	JNJ_UNITS	10*3/L	9435	UCUM	2023-01-20	2099-12-31	
10*3/mL	0	JNJ_UNITS	10*3/mL	9436	UCUM	2023-01-20	2099-12-31	
10*3/mm3	0	JNJ_UNITS	10*3/mm3	8961	UCUM	1970-01-01	2099-12-31	
10*3/mm4	0	JNJ_UNITS	10*3/mm4	8961	UCUM	2023-01-20	2099-12-31	
10*3(rbc)	0	JNJ_UNITS	10*3(rbc)	44777576	UCUM	2023-01-20	2099-12-31	
10*3.{RBC}	0	JNJ_UNITS	10*3.{RBC}	9434	UCUM	2023-01-20	2099-12-31	
10*3.[U]	0	JNJ_UNITS	10*3.[U]	710256	UCUM	2023-01-20	2099-12-31	
10*3.[UA]/L	0	JNJ_UNITS	10*3.[UA]/L	44777579	UCUM	2023-01-20	2099-12-31	
10*-3.[U]/g	0	JNJ_UNITS	10*-3.[U]/g	9594	UCUM	2023-01-20	2099-12-31	
10*3.[U]/g	0	JNJ_UNITS	10*3.[U]/g	9538	UCUM	2023-01-20	2099-12-31	
10*-3.[U]/g{HGB}	0	JNJ_UNITS	10*-3.[U]/g{HGB}	9595	UCUM	2023-01-20	2099-12-31	
10 3 uL	0	JNJ_UNITS	10 3 uL	8848	UCUM	1970-01-01	2099-12-31	
10(3)/uL	0	JNJ_UNITS	10(3)/uL	8848	UCUM	1970-01-01	2099-12-31	
10*-3/uL	0	JNJ_UNITS	10*-3/uL	8938	UCUM	2023-01-20	2099-12-31	
10*3/uL	0	JNJ_UNITS	Thousand per Microliter	8848	UCUM	1970-01-01	2099-12-31	
10^3/UL	0	JNJ_UNITS	10^3/UL	8848	UCUM	1970-01-01	2099-12-31	
10*-3.[U]/L	0	JNJ_UNITS	10*-3.[U]/L	44777578	UCUM	2023-01-20	2099-12-31	
10*3.[U]/L	0	JNJ_UNITS	10*3.[U]/L	8810	UCUM	2023-01-20	2099-12-31	
10*3.[U]/L{class}	0	JNJ_UNITS	10*3.[U]/L{class}	8924	UCUM	2023-01-20	2099-12-31	
10*-3.[U]/mg	0	JNJ_UNITS	10*-3.[U]/mg	9596	UCUM	2023-01-20	2099-12-31	
10*-3.[U]/mg{creat}	0	JNJ_UNITS	10*-3.[U]/mg{creat}	9597	UCUM	2023-01-20	2099-12-31	
10*-3.[U]/mL	0	JNJ_UNITS	10*-3.[U]/mL	8719	UCUM	2023-01-20	2099-12-31	
10*4	0	JNJ_UNITS	10 Thousand	0	None	1970-01-01	2023-01-20	D
10*4	0	JNJ_UNITS	10 Thousand	710258	UCUM	2023-01-20	2099-12-31	
10*4/uL	0	JNJ_UNITS	10*4/uL	32706	UCUM	2023-01-20	2099-12-31	
10*5	0	JNJ_UNITS	10*5	9438	UCUM	2023-01-20	2099-12-31	
/10*6	0	JNJ_UNITS	/10*6	9241	UCUM	2023-01-20	2099-12-31	
10*6	0	JNJ_UNITS	Million Units	9689	UCUM	1970-01-01	2023-01-20	D
10*6	0	JNJ_UNITS	Million	8549	UCUM	1970-01-01	2099-12-31	
10*6.{cells}/L	0	JNJ_UNITS	10*6.{cells}/L	44777586	UCUM	2023-01-20	2099-12-31	
10*6.{copies}/L	0	JNJ_UNITS	10*6.{copies}/L	44777587	UCUM	2023-01-20	2099-12-31	
10*6.{copies}/mL	0	JNJ_UNITS	10*6.{copies}/mL	32709	UCUM	2023-01-20	2099-12-31	
